DSOax;DSOay;DSOaz;DSOgx;DSOgy;DSOgz;W12ax;W12ay;W12az;MDLmx;MDLmy;MDLmz
2;5;1020;210;140;980;-4;-27;1002;-484;583;-109
1;5;1020;140;70;980;-5;-27;1002;-483;586;-114
2;5;1020;140;70;980;-4;-28;1001;-475;585;-109
1;4;1020;210;70;980;-5;-27;1003;-478;582;-103
2;5;1018;210;70;980;-6;-28;1003;-481;576;-106
1;5;1019;210;70;980;-4;-26;1002;-477;583;-109
1;3;1021;280;0;910;-3;-28;1007;-481;583;-106
1;6;1020;210;140;980;-5;-27;1002;-475;588;-102
2;4;1020;140;140;1050;-5;-28;1003;-489;585;-114
3;5;1020;210;140;980;-4;-27;1001;-472;582;-108
1;6;1020;210;0;980;-2;-27;1002;-489;589;-114
-1;6;1020;140;-280;980;-5;-25;1002;-480;583;-99
2;6;1021;210;70;980;-5;-28;1001;-478;585;-105
3;5;1018;210;140;980;-5;-28;1002;-474;582;-105
1;6;1019;210;70;980;-4;-28;1002;-484;577;-105
1;6;1019;210;70;910;-4;-28;1002;-483;574;-108
1;6;1019;210;70;980;-5;-26;1002;-478;588;-103
2;7;1020;280;70;910;-3;-29;1001;-475;579;-105
2;7;1020;210;70;910;-4;-26;1001;-475;574;-108
6;24;1029;0;420;910;11;-32;1012;-468;564;-105
-11;303;957;10220;1050;630;291;-17;941;-478;427;-85
-10;537;865;9310;70;910;524;-21;845;-472;313;-31
-11;650;783;3150;70;910;633;-25;768;-474;264;1
-12;674;762;420;140;910;658;-22;746;-463;249;12
-10;657;770;-6160;280;980;641;-21;754;-468;261;4
-13;427;920;-11970;70;910;412;-19;907;-471;370;-61
4;84;1021;-7140;-140;1050;72;-31;1002;-471;528;-97
1;5;1021;70;70;910;-3;-29;1001;-471;573;-103
2;4;1020;210;70;980;-3;-29;1003;-471;577;-99
2;4;1020;210;140;910;-5;-29;1002;-465;577;-103
3;6;1020;210;70;980;-3;-30;1005;-469;577;-109
4;5;1019;210;140;910;-5;-28;1003;-469;577;-102
3;5;1019;280;70;980;-4;-31;1000;-474;571;-114
5;6;1019;210;140;910;-5;-29;1005;-474;580;-105
