Timestamp;DSOay;DSOay;DSOaz;DSOgx;DSOgy;DSOgz;W12ax;W12ay;W12az;MDLmx;MDLmy;MDLmz
1772368895;-2;-2;1019;140;70;560;-10;-38;1012;-867;847;-129
1772925091;0;-1;1019;210;0;560;-10;-38;1012;-861;856;-133
1773481279;0;-1;1019;210;0;560;-9;-37;1007;-861;856;-133
1774037485;-1;-2;1019;140;0;560;-10;-39;1015;-867;847;-129
1774593663;-1;-2;1019;140;0;490;-10;-39;1015;-873;852;-130
1775149869;-1;-2;1019;140;0;490;-9;-39;1013;-873;852;-130
1775706067;0;-1;1019;140;70;490;-10;-40;1011;-876;849;-127
1776262251;0;-1;1019;140;70;490;-10;-40;1011;-873;856;-129
1776818455;-1;-2;1019;210;0;490;-10;-40;1009;-873;856;-129
1777374663;-1;-3;1019;140;0;490;-10;-40;1009;-871;850;-136
1777930839;-1;-3;1019;140;0;490;-9;-38;1013;-871;850;-138
1778487055;0;0;1020;210;70;560;-10;-38;1007;-864;849;-138
1779043245;0;0;1020;140;70;560;-10;-38;1007;-862;861;-126
1779599445;-1;-2;1019;140;70;560;-9;-38;1012;-862;861;-126
1780155631;0;-1;1019;140;70;490;-9;-38;1012;-864;850;-136
1780711819;0;-1;1019;140;70;490;-10;-40;1015;-862;841;-132
1781268025;0;-2;1019;140;0;490;-8;-41;1014;-862;841;-132
1781824229;-1;-1;1018;140;0;560;-8;-41;1014;-867;855;-144
1782380417;-1;-1;1018;140;0;560;-10;-37;1009;-873;847;-129
1782936613;0;-2;1021;140;0;490;-11;-38;1010;-873;847;-129
1783492817;0;-2;1021;140;0;490;-11;-38;1010;-867;855;-133
1784049015;0;-1;1019;140;0;490;-10;-40;1017;-867;855;-133
1784605191;0;-1;1020;140;70;490;-10;-40;1017;-871;853;-132
1785161393;0;-1;1020;140;70;490;-10;-39;1013;-874;852;-133
1785717601;-1;-2;1020;140;0;560;-10;-40;1011;-874;852;-133
1786273785;-1;-2;1019;140;70;490;-10;-40;1011;-870;858;-133
1786829989;0;-2;1019;140;70;490;-9;-40;1009;-864;855;-141
1787386177;-1;-1;1019;70;70;490;-9;-40;1009;-864;855;-141
1787942367;-1;-1;1019;70;70;490;-10;-39;1011;-873;855;-130
1788498577;-1;0;1019;140;0;490;-9;-38;1006;-873;853;-129
1789054767;0;-1;1020;140;70;560;-9;-38;1006;-870;853;-129
1789610961;0;-1;1020;140;70;560;-8;-39;1014;-868;856;-130
1790167161;-1;-2;1019;140;70;490;-11;-38;1014;-868;856;-130
1790723365;-1;-2;1019;140;70;490;-11;-38;1014;-868;838;-133
1791279551;-1;-2;1019;140;70;490;-10;-34;1015;-870;856;-135
1791835753;0;-2;1019;140;70;490;-10;-34;1015;-870;856;-135
1792391937;0;-2;1019;140;70;490;-10;-41;1009;-862;855;-139
1792948137;0;-2;1019;210;0;490;-10;-40;1016;-870;850;-132
1793504343;-1;-1;1019;140;70;490;-10;-40;1016;-870;850;-132
1794060523;-1;-1;1019;140;70;490;-10;-41;1005;-871;852;-126
1794616735;0;-2;1019;210;70;490;-10;-41;1005;-871;852;-126
1795172931;0;-2;1019;140;0;560;-9;-37;1008;-870;856;-139
1795729129;0;-2;1019;140;0;560;-8;-39;1010;-868;859;-132
