Timestamp;DSOax;DSOay;DSOaz;DSOgx;DSOgy;DSOgz;W12ax;W12ay;W12az;MDLmx;MDLmy;MDLmz
-1404734503;-2;-2;1022;210;0;490;-8;-38;1014;-879;838;-139
-1404178309;-2;-2;1022;210;0;490;-8;-38;1008;-879;838;-139
-1403622101;-2;-2;1017;140;70;490;-10;-39;1008;-877;831;-135
-1403065913;-1;-2;1018;210;70;490;-10;-39;1008;-877;831;-135
-1402509719;-1;-2;1018;210;70;490;-10;-38;1007;-882;838;-138
-1401953517;0;-2;1015;280;0;490;-10;-38;1007;-886;844;-142
-1401397321;0;-2;1015;280;-70;490;-9;-41;1005;-886;844;-142
-1400841123;0;-1;1017;280;-70;490;-9;-38;1016;-880;846;-138
-1400284933;0;0;1024;350;-70;560;-9;-38;1016;-879;841;-139
-1399728727;0;0;1024;350;-70;560;-9;-40;1017;-879;841;-139
-1399172535;0;-2;1027;210;0;560;-9;-40;1017;-880;850;-139
-1398616345;0;-3;1025;140;70;490;-11;-40;1021;-882;832;-145
-1398060151;0;-3;1025;140;70;490;-15;-42;1010;-882;832;-145
-1397503957;0;-5;1015;0;70;490;-15;-42;1010;-886;841;-139
-1396947767;0;-5;1015;0;0;490;-12;-41;1007;-886;841;-139
-1396391571;0;-2;1017;140;0;490;-9;-40;1011;-883;829;-142
-1395835363;0;0;1020;140;0;560;-9;-40;1011;-894;835;-130
-1395279167;0;0;1020;140;0;560;-7;-40;1017;-894;835;-130
-1394722973;-1;0;1021;140;70;560;-7;-40;1017;-883;828;-141
-1394166773;-1;0;1020;140;70;560;-9;-39;1004;-882;834;-135
-1393610581;-1;0;1020;140;70;560;-9;-38;1007;-882;834;-135
-1393054395;-1;-2;1016;140;0;490;-9;-38;1007;-883;837;-139
-1392498187;-1;-2;1016;140;0;490;-10;-38;1009;-883;837;-142
-1391941995;-2;-2;1019;210;0;490;-10;-38;1009;-882;831;-142
-1391385789;-1;-2;1021;140;0;560;-11;-40;1018;-879;849;-141
-1390829605;-1;-2;1021;140;0;560;-12;-40;1010;-879;849;-141
-1390273407;-1;-2;1021;140;0;490;-12;-40;1010;-883;849;-132
-1389717209;-1;-2;1021;140;70;560;-12;-38;1010;-882;834;-136
-1389161017;-1;-3;1017;140;70;560;-9;-39;1007;-882;834;-136
-1388604817;-2;-2;1017;210;70;560;-9;-39;1007;-886;840;-139
-1388048617;-2;-2;1017;210;70;560;-9;-41;1010;-882;832;-141
-1387492425;0;-1;1018;210;0;490;-9;-41;1010;-882;832;-141
-1386936229;-1;-1;1011;210;-70;490;-10;-37;999;-882;838;-139
-1386380029;-1;-1;1011;210;-70;490;-11;-38;999;-882;838;-139
-1385823839;-1;-2;1008;420;-70;490;-11;-38;999;-882;841;-139
-1385267633;-1;-2;1008;630;-210;560;-7;-40;1017;-880;838;-138
-1384711445;0;-1;1024;630;-210;560;-7;-40;1017;-880;838;-138
-1384155259;2;0;1044;420;-140;490;-7;-45;1040;-882;841;-141
-1383599055;2;0;1044;420;-140;490;-12;-39;1019;-882;835;-142
-1383042853;0;-3;1027;70;70;560;-12;-39;1019;-882;835;-142
