Timestamp;DSOay;DSOay;DSOaz;DSOgx;DSOgy;DSOgz;W12ax;W12ay;W12az;MDLmx;MDLmy;MDLmz
1208515425;0;-1;1019;210;0;490;-8;-40;1011;-873;814;-58
1209071617;0;-1;1019;210;0;490;-8;-39;1012;-873;814;-58
1209627815;0;0;1019;210;0;490;-9;-37;1009;-871;819;-64
1210184011;0;0;1019;210;0;490;-9;-37;1009;-871;816;-55
1210740203;0;-1;1019;210;0;490;-8;-41;1011;-873;816;-55
1211296395;-1;-2;1019;210;70;490;-8;-41;1015;-873;814;-55
1211852599;-1;-2;1019;210;70;490;-9;-38;1015;-873;814;-55
1212408789;-1;-2;1020;210;0;490;-9;-39;1009;-867;820;-55
1212964985;-1;-1;1019;210;0;560;-9;-39;1009;-877;811;-63
1213521185;-1;-1;1019;210;0;560;-7;-36;1013;-877;811;-63
1214077379;0;0;1020;210;0;560;-9;-42;1014;-873;811;-63
1214633571;0;0;1020;140;0;560;-9;-42;1014;-868;811;-64
1215189767;0;-1;1018;140;0;560;-8;-41;1017;-868;811;-64
1215745975;0;-2;1020;140;70;560;-8;-41;1017;-865;808;-61
1216302167;0;-2;1020;140;70;560;-8;-42;1009;-865;808;-61
1216858363;-1;-2;1019;140;70;490;-9;-38;1007;-865;813;-57
1217414563;0;-1;1019;140;0;490;-9;-38;1007;-871;819;-51
1217970751;0;-1;1019;140;0;490;-8;-40;1013;-871;819;-51
1218526937;0;-1;1019;210;0;490;-8;-40;1014;-870;808;-58
1219083139;0;-1;1019;210;0;490;-8;-38;1014;-868;816;-55
1219639341;0;-1;1019;210;0;490;-9;-40;1011;-868;816;-55
1220195535;0;-1;1019;140;70;490;-9;-40;1011;-870;825;-54
1220751739;0;-1;1019;140;70;490;-9;-37;1012;-868;807;-58
1221307927;0;-1;1019;140;0;490;-11;-40;1011;-868;807;-58
1221864133;0;-2;1019;140;0;490;-11;-40;1011;-864;817;-61
1222420323;-1;-2;1019;140;0;490;-8;-39;1014;-864;817;-61
1222976515;-2;-2;1019;140;0;490;-8;-39;1014;-870;814;-63
1223532721;-2;-2;1019;140;0;490;-8;-43;1008;-870;807;-64
1224088907;-1;0;1019;140;0;490;-8;-37;1010;-870;807;-64
1224645103;-1;-1;1019;140;70;490;-8;-37;1010;-862;813;-60
1225201305;-1;-1;1019;140;70;490;-8;-41;1013;-861;816;-66
1225757495;-1;0;1019;210;70;490;-8;-41;1014;-861;816;-66
1226313689;-1;0;1020;140;0;560;-8;-39;1014;-870;814;-63
1226869897;-1;-1;1020;140;0;560;-9;-39;1006;-870;817;-57
1227426079;-1;-1;1019;140;0;560;-9;-39;1006;-873;817;-57
1227982269;-1;-1;1019;140;0;560;-7;-36;1018;-867;825;-63
1228538477;-2;-1;1019;140;0;490;-9;-39;1012;-867;825;-63
1229094671;-1;0;1019;140;0;560;-9;-39;1012;-870;813;-63
1229650867;-1;0;1019;140;0;560;-8;-40;1015;-870;808;-72
1230207071;0;0;1019;210;70;490;-8;-40;1015;-870;808;-72
1230763261;0;0;1019;140;70;490;-9;-41;1009;-871;817;-55
1231319445;-1;-1;1019;140;70;490;-7;-37;1012;-871;808;-60
1231875655;-2;0;1020;210;0;490;-7;-37;1012;-871;808;-60
1232431845;-2;0;1020;210;0;490;-8;-39;1011;-864;805;-63
1232988053;-2;-1;1019;210;0;490;-8;-39;1012;-864;805;-63
1233544229;0;0;1019;70;0;490;-8;-38;1012;-870;813;-61
1234100435;0;0;1019;70;0;490;-10;-38;1010;-871;823;-66
1234656635;-1;0;1019;140;0;490;-10;-38;1010;-871;823;-66
1235212833;-1;0;1019;140;0;490;-8;-39;1017;-870;819;-61
1235769021;-1;0;1019;140;0;490;-8;-42;1012;-871;822;-58
1236325229;-1;-1;1019;210;0;490;-8;-42;1012;-871;822;-58
1236881415;-1;-1;1019;210;0;490;-10;-40;1013;-867;819;-57
1237437609;-1;-1;1018;210;0;490;-10;-40;1013;-873;817;-55
1237993813;-1;0;1021;140;0;490;-7;-39;1009;-873;817;-55
1238549993;-1;0;1021;140;0;490;-8;-39;1006;-865;811;-63
1239106207;0;-1;1018;140;0;490;-8;-39;1006;-865;811;-63
1239662391;0;-1;1018;210;70;490;-7;-38;1014;-868;813;-57
1240218589;0;-1;1020;210;70;490;-7;-38;1010;-865;810;-57
1240774783;0;0;1018;210;70;560;-8;-39;1010;-865;810;-57
1241330991;0;0;1018;210;70;560;-9;-37;1015;-871;802;-58
1241887171;0;-1;1020;210;70;490;-9;-37;1015;-874;811;-58
1242443371;0;-1;1020;210;0;490;-10;-41;1013;-874;811;-58
1242999567;0;-1;1020;210;0;490;-7;-41;1012;-882;816;-55
1243555775;-1;-1;1019;210;0;490;-7;-41;1012;-882;816;-55
1244111967;-1;-1;1019;210;0;490;-8;-42;1014;-862;822;-55
1244668163;0;-1;1020;140;0;490;-8;-42;1014;-871;820;-57
1245224351;0;-1;1018;140;70;490;-8;-41;1007;-871;820;-57
1245780561;0;-1;1018;140;70;490;-9;-41;1012;-871;819;-64
1246336745;-1;-1;1020;140;70;490;-9;-41;1012;-859;817;-57
1246892941;-1;-1;1020;140;0;560;-7;-40;1009;-859;817;-57
1247449143;-1;-1;1017;140;0;560;-7;-40;1010;-868;808;-60
1248005333;0;0;1020;140;0;490;-7;-40;1010;-867;817;-60
1248561521;0;0;1020;140;0;490;-7;-39;1010;-867;817;-60
1249117723;-1;0;1018;140;0;490;-7;-39;1010;-861;817;-63
1249673921;-2;0;1020;140;0;490;-7;-39;1008;-861;817;-63
1250230123;-2;0;1020;140;0;490;-10;-37;1014;-868;808;-58
1250786313;-1;-1;1017;140;70;560;-10;-37;1014;-871;816;-51
1251342519;-1;-1;1017;140;0;560;-8;-40;1014;-871;816;-51
1251898707;0;-1;1019;140;0;560;-8;-40;1014;-874;814;-63
1252454903;-1;-1;1018;140;0;490;-10;-40;1016;-864;817;-55
1253011105;-1;-1;1018;140;0;490;-8;-39;1013;-864;817;-55
1253567295;-2;0;1020;210;0;490;-8;-39;1013;-868;810;-61
1254123491;-4;1;1020;210;0;630;-4;-36;1012;-870;810;-61
1254679683;-4;1;1020;210;0;630;-4;-36;1010;-870;810;-61
1255235873;-8;7;1019;210;0;910;0;-32;1010;-874;814;-60
1255792069;-8;7;1019;210;0;1400;2;-32;1012;-874;814;-60
1256348277;-7;9;1018;210;0;1400;2;-32;1012;-868;808;-66
1256904469;-3;9;1019;210;0;1680;1;-36;1008;-876;814;-64
1257460667;-3;9;1019;210;0;1680;11;-35;1013;-876;814;-64
1258016867;-4;17;1018;280;0;1820;11;-35;1013;-871;814;-52
1258573065;-5;27;1019;280;0;1820;19;-36;1010;-867;820;-58
1259129263;-5;27;1019;280;0;1820;19;-36;1010;-867;820;-58
1259685455;-11;38;1018;350;-70;1820;31;-29;1018;-873;819;-63
1260241647;-11;38;1018;350;-70;2170;57;-27;1014;-873;819;-57
1260797839;-16;59;1025;350;-70;2170;57;-27;1014;-862;816;-57
1261354049;-17;70;1012;280;-70;2870;61;-26;1012;-873;825;-58
1261910233;-17;70;1012;280;-70;2870;61;-26;1008;-873;825;-58
1262466437;-8;57;1021;350;-140;3430;45;-33;1008;-867;814;-58
1263022631;-8;-1;1026;140;-70;3640;-7;-38;1021;-876;814;-58
1263578821;6;-1;1026;140;-70;3640;-7;-38;1021;-876;814;-58
1264135029;-25;44;1009;140;140;3850;42;-21;1002;-868;814;-66
1264691215;-25;44;1009;140;140;4340;53;-34;1025;-864;819;-64
1265247409;-5;61;1031;490;-140;4340;53;-34;1025;-864;819;-64
1265803613;-20;79;1004;70;70;4550;76;-22;992;-870;805;-64
1266359801;-20;79;1004;70;70;4550;76;-22;992;-870;805;-64
1266916007;-8;66;1037;630;-70;4760;50;-36;1031;-871;810;-66
1267472191;-8;66;1037;-210;210;5110;87;-26;990;-876;825;-70
1268028391;-17;83;1001;-210;210;5110;87;-26;990;-876;825;-70
